Network,Alberta,British Columbia,Manitoba,New Brunswick,Newfounland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
Ford Blue Oval,X,X,N/A,X,X,X,X,X,X,X
Electrify Canada,X,X,X,X,X,X,X,X,X,X
Tesla,Free,Free,Free,Free,X,Free,Free,Free,Free,Free
Shell Recharge,X,$2 per hour,X,X,X,X,$2.5 per hour,X,X,X
Petro Canada,Free,Free,X,Free,X,X,Free,X,X,X
Couche Tard/CircleK,X,X,X,X,X,X,X,X,X,X
On The Run EV (Parkland),X,X,X,X,X,X,X,X,X,X
BC Hydro,X,$0.2972 per kWh,X,X,X,X,X,X,X,X
Electric Circuit (Hydro Quebec),X,X,X,X,X,X,N/A,X,Up to $3 per hour,X
Ivy (OPG and Hydro One),X,X,X,X,X,X,Up to $2.83 per hour,X,X,X
eCharge (NB power),X,X,X,$1.5 per hour,X,X,X,X,X,X
